task_name,method,seed,num_episodes,beta,policy_value,behavior_value,optimal_value,suboptimality_gap,root_action,root_action_count,expected_chosen_count,low_support_mass
branching_mdp,greedy,0,10,0.8,0.55,0.78373,0.9,0.35,1,2.0,4.0,2.0
branching_mdp,pessimistic,0,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,23.0,0.0
branching_mdp,greedy,1,10,0.8,0.55,0.78373,0.9,0.35,1,2.0,4.0,2.0
branching_mdp,pessimistic,1,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,24.0,0.0
branching_mdp,greedy,2,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,pessimistic,2,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,greedy,3,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,pessimistic,3,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,greedy,4,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,pessimistic,4,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,greedy,5,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,pessimistic,5,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,greedy,6,10,0.8,0.55,0.78373,0.9,0.35,1,1.0,4.0,2.0
branching_mdp,pessimistic,6,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,23.0,0.0
branching_mdp,greedy,7,10,0.8,0.55,0.78373,0.9,0.35,1,1.0,3.0,3.0
branching_mdp,pessimistic,7,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,greedy,8,10,0.8,0.9,0.78373,0.9,0.0,0,7.0,21.0,0.0
branching_mdp,pessimistic,8,10,0.8,0.9,0.78373,0.9,0.0,0,7.0,21.0,0.0
branching_mdp,greedy,9,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,25.0,0.0
branching_mdp,pessimistic,9,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,25.0,0.0
branching_mdp,greedy,10,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,30.0,0.0
branching_mdp,pessimistic,10,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,30.0,0.0
branching_mdp,greedy,11,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,pessimistic,11,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,greedy,12,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,pessimistic,12,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,greedy,13,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,pessimistic,13,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,greedy,14,10,0.8,0.55,0.78373,0.9,0.35,1,1.0,4.0,2.0
branching_mdp,pessimistic,14,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,greedy,15,10,0.8,0.9,0.78373,0.9,0.0,0,7.0,21.0,0.0
branching_mdp,pessimistic,15,10,0.8,0.9,0.78373,0.9,0.0,0,7.0,21.0,0.0
branching_mdp,greedy,16,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,26.0,0.0
branching_mdp,pessimistic,16,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,26.0,0.0
branching_mdp,greedy,17,10,0.8,0.55,0.78373,0.9,0.35,1,1.0,6.0,2.0
branching_mdp,pessimistic,17,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,21.0,0.0
branching_mdp,greedy,18,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,24.0,0.0
branching_mdp,pessimistic,18,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,24.0,0.0
branching_mdp,greedy,19,10,0.8,0.9,0.78373,0.9,0.0,0,7.0,17.0,0.0
branching_mdp,pessimistic,19,10,0.8,0.9,0.78373,0.9,0.0,0,7.0,17.0,0.0
branching_mdp,greedy,20,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,25.0,0.0
branching_mdp,pessimistic,20,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,25.0,0.0
branching_mdp,greedy,21,10,0.8,0.55,0.78373,0.9,0.35,1,1.0,2.0,3.0
branching_mdp,pessimistic,21,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,greedy,22,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,26.0,0.0
branching_mdp,pessimistic,22,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,26.0,0.0
branching_mdp,greedy,23,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,22.0,0.0
branching_mdp,pessimistic,23,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,22.0,0.0
branching_mdp,greedy,24,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,30.0,0.0
branching_mdp,pessimistic,24,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,30.0,0.0
branching_mdp,greedy,25,10,0.8,0.55,0.78373,0.9,0.35,1,1.0,3.0,3.0
branching_mdp,pessimistic,25,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,greedy,26,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,pessimistic,26,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,greedy,27,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,22.0,0.0
branching_mdp,pessimistic,27,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,22.0,0.0
branching_mdp,greedy,28,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,24.0,0.0
branching_mdp,pessimistic,28,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,24.0,0.0
branching_mdp,greedy,29,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,27.0,0.0
branching_mdp,pessimistic,29,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,27.0,0.0
branching_mdp,greedy,30,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,pessimistic,30,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,greedy,31,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,23.0,0.0
branching_mdp,pessimistic,31,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,23.0,0.0
branching_mdp,greedy,32,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,pessimistic,32,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,greedy,33,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,pessimistic,33,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,greedy,34,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,30.0,0.0
branching_mdp,pessimistic,34,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,30.0,0.0
branching_mdp,greedy,35,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,26.0,0.0
branching_mdp,pessimistic,35,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,26.0,0.0
branching_mdp,greedy,36,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,27.0,0.0
branching_mdp,pessimistic,36,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,27.0,0.0
branching_mdp,greedy,37,10,0.8,0.55,0.78373,0.9,0.35,1,1.0,3.0,3.0
branching_mdp,pessimistic,37,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,26.0,0.0
branching_mdp,greedy,38,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,pessimistic,38,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,greedy,39,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,24.0,0.0
branching_mdp,pessimistic,39,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,24.0,0.0
branching_mdp,greedy,40,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,pessimistic,40,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,greedy,41,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,23.0,0.0
branching_mdp,pessimistic,41,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,23.0,0.0
branching_mdp,greedy,42,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,pessimistic,42,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,greedy,43,10,0.8,0.15000000000000002,0.78373,0.9,0.75,1,2.0,4.0,2.0
branching_mdp,pessimistic,43,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,23.0,0.0
branching_mdp,greedy,44,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,26.0,0.0
branching_mdp,pessimistic,44,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,26.0,0.0
branching_mdp,greedy,45,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,27.0,0.0
branching_mdp,pessimistic,45,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,27.0,0.0
branching_mdp,greedy,46,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,24.0,0.0
branching_mdp,pessimistic,46,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,24.0,0.0
branching_mdp,greedy,47,10,0.8,0.55,0.78373,0.9,0.35,1,1.0,4.0,2.0
branching_mdp,pessimistic,47,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,23.0,0.0
branching_mdp,greedy,48,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,pessimistic,48,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,greedy,49,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,25.0,0.0
branching_mdp,pessimistic,49,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,25.0,0.0
branching_mdp,greedy,50,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,pessimistic,50,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,greedy,51,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,26.0,0.0
branching_mdp,pessimistic,51,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,26.0,0.0
branching_mdp,greedy,52,10,0.8,0.55,0.78373,0.9,0.35,1,3.0,9.0,0.0
branching_mdp,pessimistic,52,10,0.8,0.9,0.78373,0.9,0.0,0,7.0,19.0,0.0
branching_mdp,greedy,53,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,pessimistic,53,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,greedy,54,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,29.0,0.0
branching_mdp,pessimistic,54,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,29.0,0.0
branching_mdp,greedy,55,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,26.0,0.0
branching_mdp,pessimistic,55,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,26.0,0.0
branching_mdp,greedy,56,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,pessimistic,56,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,greedy,57,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,30.0,0.0
branching_mdp,pessimistic,57,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,30.0,0.0
branching_mdp,greedy,58,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,23.0,0.0
branching_mdp,pessimistic,58,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,23.0,0.0
branching_mdp,greedy,59,10,0.8,0.55,0.78373,0.9,0.35,1,1.0,4.0,2.0
branching_mdp,pessimistic,59,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,24.0,0.0
branching_mdp,greedy,60,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,24.0,0.0
branching_mdp,pessimistic,60,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,24.0,0.0
branching_mdp,greedy,61,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,23.0,0.0
branching_mdp,pessimistic,61,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,23.0,0.0
branching_mdp,greedy,62,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,pessimistic,62,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,greedy,63,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,19.0,0.0
branching_mdp,pessimistic,63,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,19.0,0.0
branching_mdp,greedy,64,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,22.0,0.0
branching_mdp,pessimistic,64,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,22.0,0.0
branching_mdp,greedy,65,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,20.0,0.0
branching_mdp,pessimistic,65,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,20.0,0.0
branching_mdp,greedy,66,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,22.0,0.0
branching_mdp,pessimistic,66,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,22.0,0.0
branching_mdp,greedy,67,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,20.0,0.0
branching_mdp,pessimistic,67,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,20.0,0.0
branching_mdp,greedy,68,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,pessimistic,68,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,greedy,69,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,pessimistic,69,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,greedy,70,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,22.0,0.0
branching_mdp,pessimistic,70,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,22.0,0.0
branching_mdp,greedy,71,10,0.8,0.55,0.78373,0.9,0.35,1,2.0,5.0,1.0
branching_mdp,pessimistic,71,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,20.0,0.0
branching_mdp,greedy,72,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,pessimistic,72,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,28.0,0.0
branching_mdp,greedy,73,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,24.0,0.0
branching_mdp,pessimistic,73,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,24.0,0.0
branching_mdp,greedy,74,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,22.0,0.0
branching_mdp,pessimistic,74,10,0.8,0.9,0.78373,0.9,0.0,0,8.0,22.0,0.0
branching_mdp,greedy,75,10,0.8,0.44999999999999996,0.78373,0.9,0.45000000000000007,0,10.0,21.0,0.0
branching_mdp,pessimistic,75,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,23.0,0.0
branching_mdp,greedy,76,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,pessimistic,76,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,25.0,0.0
branching_mdp,greedy,77,10,0.8,0.44999999999999996,0.78373,0.9,0.45000000000000007,0,10.0,20.0,1.0
branching_mdp,pessimistic,77,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,27.0,0.0
branching_mdp,greedy,78,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,pessimistic,78,10,0.8,0.9,0.78373,0.9,0.0,0,9.0,27.0,0.0
branching_mdp,greedy,79,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,20.0,0.0
branching_mdp,pessimistic,79,10,0.8,0.9,0.78373,0.9,0.0,0,10.0,20.0,0.0
branching_mdp,greedy,0,20,0.8,0.55,0.78373,0.9,0.35,1,4.0,10.0,0.0
branching_mdp,pessimistic,0,20,0.8,0.9,0.78373,0.9,0.0,0,16.0,46.0,0.0
branching_mdp,greedy,1,20,0.8,0.9,0.78373,0.9,0.0,0,16.0,44.0,0.0
branching_mdp,pessimistic,1,20,0.8,0.9,0.78373,0.9,0.0,0,16.0,44.0,0.0
branching_mdp,greedy,2,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,42.0,0.0
branching_mdp,pessimistic,2,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,42.0,0.0
branching_mdp,greedy,3,20,0.8,0.55,0.78373,0.9,0.35,1,2.0,7.0,0.0
branching_mdp,pessimistic,3,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,51.0,0.0
branching_mdp,greedy,4,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,55.0,0.0
branching_mdp,pessimistic,4,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,55.0,0.0
branching_mdp,greedy,5,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,2.0,3.0
branching_mdp,pessimistic,5,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,56.0,0.0
branching_mdp,greedy,6,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,5.0,2.0
branching_mdp,pessimistic,6,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,51.0,0.0
branching_mdp,greedy,7,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,49.0,0.0
branching_mdp,pessimistic,7,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,49.0,0.0
branching_mdp,greedy,8,20,0.8,0.9,0.78373,0.9,0.0,0,14.0,42.0,0.0
