task_name,method,seed,num_episodes,beta,ridge,policy_value,behavior_value,optimal_value,suboptimality_gap,root_action,root_action_count,expected_chosen_count,low_support_mass,action_agreement_mass,chosen_action_q_error,chosen_action_bonus,chosen_feature_novelty,root_true_q,root_q_hat,root_q_value,root_bonus
linear_near_intrinsic_branching_mdp,greedy,0,10,0.0,1.0,0.95,0.744575,0.95,0.0,1,2.0,4.0,2.0,1.0,-0.18782984112224735,0.0,0.0,0.95,0.6983169618292496,0.6983169618292496,0.0
linear_near_intrinsic_branching_mdp,support_masked,0,10,0.0,1.0,0.95,0.744575,0.95,0.0,1,2.0,4.0,2.0,1.0,-0.18782984112224735,0.0,0.0,0.95,0.6983169618292496,0.6983169618292496,0.0
linear_near_intrinsic_branching_mdp,greedy,1,10,0.0,1.0,0.55,0.744575,0.95,0.3999999999999999,0,9.0,12.0,1.0,0.3333333333333333,0.4128049011845747,0.0,0.0,0.55,0.9997547939804048,0.9997547939804048,0.0
linear_near_intrinsic_branching_mdp,support_masked,1,10,0.0,1.0,0.7999999999999999,0.744575,0.95,0.15000000000000002,0,9.0,25.0,0.0,0.6666666666666666,0.07407184814109735,0.0,0.0,0.7999999999999999,0.7938893240987202,0.7938893240987202,0.0
linear_near_intrinsic_branching_mdp,greedy,2,10,0.0,1.0,0.7999999999999999,0.744575,0.95,0.15000000000000002,0,9.0,25.0,0.0,0.6666666666666666,-0.2392255369057332,0.0,0.0,0.7999999999999999,0.567426307530452,0.567426307530452,0.0
linear_near_intrinsic_branching_mdp,support_masked,2,10,0.0,1.0,0.7999999999999999,0.744575,0.95,0.15000000000000002,0,9.0,25.0,0.0,0.6666666666666666,-0.2421986565080515,0.0,0.0,0.7999999999999999,0.558506948723497,0.558506948723497,0.0
linear_near_intrinsic_branching_mdp,greedy,3,10,0.0,1.0,0.7,0.744575,0.95,0.25,1,1.0,4.0,2.0,0.6666666666666666,0.43270733071214557,0.0,0.0,0.7,1.1805801106009424,1.1805801106009424,0.0
linear_near_intrinsic_branching_mdp,support_masked,3,10,0.0,1.0,0.7999999999999999,0.744575,0.95,0.15000000000000002,0,9.0,25.0,0.0,0.6666666666666666,0.0862961064027145,0.0,0.0,0.7999999999999999,0.9176965261639474,0.9176965261639474,0.0
linear_near_intrinsic_branching_mdp,greedy,4,10,0.0,1.0,0.55,0.744575,0.95,0.3999999999999999,0,10.0,11.0,2.0,0.3333333333333333,0.37485225017149154,0.0,0.0,0.55,0.9743134003288397,0.9743134003288397,0.0
linear_near_intrinsic_branching_mdp,support_masked,4,10,0.0,1.0,0.7999999999999999,0.744575,0.95,0.15000000000000002,0,10.0,28.0,0.0,0.6666666666666666,0.12477463137588696,0.0,0.0,0.7999999999999999,0.9460238676745426,0.9460238676745426,0.0
linear_near_intrinsic_branching_mdp,greedy,5,10,0.0,1.0,0.7,0.744575,0.95,0.25,1,1.0,3.0,3.0,0.6666666666666666,0.4382533870672072,0.0,0.0,0.7,1.273022858784607,1.273022858784607,0.0
linear_near_intrinsic_branching_mdp,support_masked,5,10,0.0,1.0,0.7999999999999999,0.744575,0.95,0.15000000000000002,0,9.0,27.0,0.0,0.6666666666666666,0.10579213087364336,0.0,0.0,0.7999999999999999,0.8901573331525239,0.8901573331525239,0.0
linear_near_intrinsic_branching_mdp,greedy,6,10,0.0,1.0,0.95,0.744575,0.95,0.0,1,1.0,3.0,3.0,1.0,-0.07287175290109649,0.0,0.0,0.95,0.8412029398061218,0.8412029398061218,0.0
linear_near_intrinsic_branching_mdp,support_masked,6,10,0.0,1.0,0.7999999999999999,0.744575,0.95,0.15000000000000002,0,9.0,25.0,0.0,0.6666666666666666,0.09401932721409334,0.0,0.0,0.7999999999999999,0.8387897708926335,0.8387897708926335,0.0
linear_near_intrinsic_branching_mdp,greedy,7,10,0.0,1.0,0.7,0.744575,0.95,0.25,1,1.0,3.0,3.0,0.6666666666666666,0.6608266313696372,0.0,0.0,0.7,1.4461486717541037,1.4461486717541037,0.0
linear_near_intrinsic_branching_mdp,support_masked,7,10,0.0,1.0,0.7999999999999999,0.744575,0.95,0.15000000000000002,0,9.0,27.0,0.0,0.6666666666666666,0.16910868515872512,0.0,0.0,0.7999999999999999,0.8548844033047306,0.8548844033047306,0.0
linear_near_intrinsic_branching_mdp,greedy,8,10,0.0,1.0,0.7,0.744575,0.95,0.25,1,3.0,9.0,0.0,0.6666666666666666,-0.004503352316004776,0.0,0.0,0.7,0.6820749850994832,0.6820749850994832,0.0
linear_near_intrinsic_branching_mdp,support_masked,8,10,0.0,1.0,0.7,0.744575,0.95,0.25,1,3.0,9.0,0.0,0.6666666666666666,-0.005343209386195369,0.0,0.0,0.7,0.6795554138889114,0.6795554138889114,0.0
